model,train_avg_losses,val_avg_losses,training_time,learning_rate,dropout_rate,acc,tpr,precision,f1-score,y_true,y_pred,loss
mlp_model,"[2.0052432303733014, 1.3290793730857524, 0.9153311864492741, 0.7117990515333541, 0.5993997105892669, 0.5289283496268252, 0.4817326818691923, 0.44718071850056346, 0.42141281369518724, 0.4011896713934046, 0.3850236990033312, 0.3718480128557124, 0.36025562628786617, 0.3505818577522927, 0.3424186892014869, 0.3345914949127968, 0.3277139129473808, 0.3216166785581315, 0.31634879659147974, 0.31081480469475403, 0.30603380089110516, 0.3013936568923453, 0.29734683488594726, 0.2934884713526736, 0.28956959198446985, 0.28582502354649786, 0.2826888324256907, 0.2798044737824734, 0.27601306267241216, 0.27333140507974524, 0.27008325844369035, 0.267486840090219, 0.26475784515446804, 0.26203964412846464, 0.25952560359493215, 0.25704269301384053, 0.25440718843898874, 0.2521303487901992, 0.2498264566380927, 0.24734783275647365, 0.24495082269323634, 0.243313128881632, 0.24078284354603036, 0.23837105755476243, 0.23644901011535463, 0.23433393921623838, 0.23229485203294045, 0.23027048529462613, 0.22841042137526452, 0.226365679122032, 0.2245885465056338, 0.22242078438718269, 0.2209009015338218, 0.2189582603725981, 0.21701806339811772, 0.21520705735112758, 0.21349828801256546, 0.2119097643472413, 0.21006934320990076, 0.20836519235943227]","[1.6568751994599686, 1.0792952179908752, 0.7992987417160197, 0.6521036104953035, 0.5651279389858246, 0.5080705082162897, 0.468646672177822, 0.43888648012851145, 0.4163190595647122, 0.3980925114864999, 0.38414738723572267, 0.37132789036060904, 0.3614152489190406, 0.3517035379054699, 0.3441314139264695, 0.33722060570057405, 0.33110592625242596, 0.3255019019892875, 0.3210165836709611, 0.31522913023512417, 0.31123861765607874, 0.30681088027801917, 0.3029426713573172, 0.29887781973848954, 0.2961497744347187, 0.29204841306869017, 0.2900260547374157, 0.2865913583243147, 0.28277417763750606, 0.28084796159825426, 0.2774515342205129, 0.27516779018209336, 0.2735704633783787, 0.269992304292131, 0.2688083464794971, 0.2655725675694486, 0.26334729156595593, 0.2609412565510324, 0.2583389361488058, 0.25681506604590315, 0.2543997672644067, 0.25259666905758227, 0.24991216843432568, 0.24821850657463074, 0.2465064084910332, 0.2443135304653898, 0.24252219244520715, 0.24185875565447706, 0.23827938798894274, 0.237168476619619, 0.2361168566536396, 0.2335159623242439, 0.23177563763679343, 0.2297755536880899, 0.22801272000404113, 0.22679068782228104, 0.22522711246571642, 0.22372572092299767, 0.22214847834820442, 0.2204075091062708]",290.0802459716797,0.03,0.0,0.9397,0.9397,0.9396913057986137,0.9395701190950467,[7 2 1 ... 4 5 6],[7 2 1 ... 4 5 6],0.0008291600598022341
model_ccn_1,"[2.2763319687640413, 2.1690899869228932, 1.8228589036363236, 1.2852205462912296, 0.9181462060263816, 0.7247747645733205, 0.6155200771828915, 0.5453389637330746, 0.4970275474355576, 0.46116709994508864, 0.43268990152059716, 0.4105690817566628, 0.3927989218463289, 0.3776732257547531, 0.3645167483928356, 0.3529114954649134, 0.342900396740817, 0.33359925694605136, 0.32493100196440167, 0.3174416999075007, 0.31074078230464713, 0.3040961383029501, 0.29804762983892824, 0.29204316262869123, 0.2868201304623421, 0.28161657300401244, 0.27638698432673797, 0.27189884596365566, 0.26709431219608226, 0.2631065477716162, 0.25868673773205025, 0.2546434853463731, 0.2508156442261757, 0.24716722664046795, 0.24332254078794033, 0.23980682906001172, 0.23642643485614595, 0.2328315569048232, 0.2296941208237029, 0.2269321694336039, 0.22356864152119515, 0.22087289218572861, 0.21785394657165447, 0.2146606981120211, 0.21221845517767238, 0.20921706598489842, 0.20694399355573856, 0.20426640675422994, 0.20173924570863552, 0.19936580646862376, 0.19663403143591068, 0.1946665364059996, 0.19245891364172418, 0.18994969549648305, 0.1877716200703636, 0.1854106883736367, 0.18332093839157135, 0.18153822972894984, 0.17927823996448772, 0.1774816349386535]","[2.244567450056685, 2.0573253327227654, 1.5535454547151606, 1.0711111895581509, 0.8114924443529007, 0.6689022386327703, 0.580968272178731, 0.5236853475266314, 0.4824769826645547, 0.45131042346041256, 0.4278255174768732, 0.40819802753468776, 0.3911735929073171, 0.3786034514295294, 0.36412247539834774, 0.3534606787118506, 0.34287039460019864, 0.3353454698907568, 0.32666425692274215, 0.32120866122397973, 0.31309891064116296, 0.30745446808794713, 0.30106671630068027, 0.29634287002238824, 0.2916725541048862, 0.28589174848921756, 0.28111348380433754, 0.2771785132428433, 0.2737054510953579, 0.2679799084967755, 0.2640423353048081, 0.2604146209803033, 0.25635298959752345, 0.2541142613329786, 0.24921142040415012, 0.246469387665708, 0.24406562555343547, 0.23967821642439416, 0.23720463127531904, 0.23380740557579285, 0.23124328509290168, 0.22816900940651588, 0.22537036303510058, 0.22287644160554765, 0.2205549976293077, 0.21772341683824012, 0.21623428197617225, 0.21338312296157189, 0.21062335467084925, 0.20766559845589577, 0.2086487310997983, 0.20391221154243389, 0.20208903196010183, 0.2007165164389509, 0.197485255751204, 0.1972285699337087, 0.1954687733916526, 0.19226404897710112, 0.18951818553057123, 0.18920632388363492]",636.6772892475128,0.03,0.0,0.9504,0.9504,0.9505850231410015,0.950334690092783,[7 2 1 ... 4 5 6],[7 2 1 ... 4 5 6],0.0006866889000870288
model_ccn_2,"[2.3034208011119923, 2.3011076526438936, 2.300454539187411, 2.2998205778446605, 2.2990117593014494, 2.2980471925532564, 2.296797921048834, 2.295050877205869, 2.292153013513443, 2.2880122078225966, 2.2808224267147956, 2.2672961265482803, 2.2387386953577084, 2.1675484801860567, 1.998090995753065, 1.7275246292986768, 1.4288707977913795, 1.1557362076449902, 0.9462821981374253, 0.8029582297548334, 0.7049266061884292, 0.6348064329395903, 0.5814970711127241, 0.5383071461890606, 0.5027117913073682, 0.4724171359805351, 0.44573770685398834, 0.4222084627823627, 0.401007002179927, 0.382362019032874, 0.36524416696518025, 0.3497498954864258, 0.33585803511929, 0.32286297387265145, 0.3114569025470855, 0.3003729835469672, 0.29059517550024583, 0.28103467362358214, 0.27279257750574576, 0.26484362574967935, 0.25735842484108945, 0.2500756389283119, 0.24371072681660347, 0.23739785411731995, 0.23169421499713938, 0.22603773135454097, 0.22057470806101534, 0.21557142950118857, 0.21076310457701378, 0.20631768407815315, 0.20183845664909544, 0.19787527137297264, 0.19388455235736168, 0.18980098071884602, 0.18649730522264826, 0.18309401986288262, 0.17950535189122596, 0.1762724663824477, 0.17338812612789742, 0.17033307480209686]","[2.302575654171883, 2.302462248092002, 2.302128106989759, 2.2999095409474473, 2.3001697976538478, 2.29916490392482, 2.297118085495969, 2.2952087990781096, 2.2920885390423713, 2.286058613594542, 2.2776627997134593, 2.2585985001097333, 2.2155880116401834, 2.1071938403109285, 1.87953039179457, 1.5841099074546328, 1.2886207534911784, 1.042413887825418, 0.8682666484345781, 0.7509314252975139, 0.6687984149506752, 0.6084922552108765, 0.5618628605883172, 0.5230382192642131, 0.4900638625976887, 0.46316483490010524, 0.43812151538564803, 0.41598725192090297, 0.3961211144924164, 0.3789701334973599, 0.36309816038354914, 0.3483096811365574, 0.3354382077430157, 0.3236450172485189, 0.31254174417637764, 0.3020037444348031, 0.293658176635174, 0.2839858890213865, 0.2759921712444184, 0.26817647256749744, 0.26123551231749514, 0.254280389940485, 0.24777552326943011, 0.24174898799429548, 0.23645287244877916, 0.23066481408920694, 0.2257589285678052, 0.2211022066309097, 0.216129739550834, 0.2121376929448006, 0.20846320736281415, 0.2035863567539986, 0.20018704742827315, 0.19606857081042958, 0.19298717538093, 0.1891167384195835, 0.1863875373246822, 0.1829680763977639, 0.18016293327859106, 0.1767192949005898]",1232.5414278507233,0.03,0.0,0.9528,0.9528,0.9528618127229546,0.9527484333151062,[7 2 1 ... 4 5 6],[7 2 1 ... 4 5 6],0.0006226795509457589
model_ccn_2_tanh,"[1.2570741011741313, 0.400661309348776, 0.2673203743835713, 0.2074787530334706, 0.17103986469830604, 0.14619808021853578, 0.12855455786623854, 0.11504930146831147, 0.10431352860115944, 0.095657325290302, 0.0885493602762197, 0.08284267268956025, 0.07787397642560462, 0.073201568123508, 0.06948430488440901, 0.06611224966361484, 0.0630075055412314, 0.06042168833355003, 0.05803196476970581, 0.05558821812589118, 0.05362575987670967, 0.05165474921306397, 0.04983547439877974, 0.04825069681008128, 0.046538595283562516, 0.045135631533141464, 0.04383983296599794, 0.0426847859028172, 0.04144201348932024, 0.040214343774231505, 0.03914841555276925, 0.03807822668905112, 0.0371193613440908, 0.03624094278611084, 0.035480711376294494, 0.034567165530306546, 0.03371442887099817, 0.032833667665204784, 0.032183178690599, 0.03129705549415914, 0.030595430321595136, 0.029998771098264036, 0.029264171548346256, 0.02869690879139098, 0.028071001538650154, 0.027454690819487294, 0.02701515432922764, 0.0263813808857602, 0.02586248714694793, 0.025334577700321343, 0.024673276043378135, 0.024457057090872463, 0.02379668202310642, 0.023269819474699808, 0.02281152431486531, 0.0223340801126819, 0.021928151425449773, 0.02161298542620337, 0.02115348313112763, 0.02076491786345364]","[0.5448184958163728, 0.3192044642377407, 0.23761518901966988, 0.19343205192621718, 0.1642479828380524, 0.1445441410896626, 0.12899686094928295, 0.1177603117329009, 0.10900187690524345, 0.10112533322040071, 0.09501000525469476, 0.0908171146949555, 0.0853245439047509, 0.08172585276213098, 0.07804518945990725, 0.07566161172345598, 0.07300564143410389, 0.0703084397109899, 0.06887195092883516, 0.06657228095734373, 0.06518412036623092, 0.06292454827022045, 0.0619169284609404, 0.06008337596629528, 0.059316309248196315, 0.05775841396856815, 0.05671089146524034, 0.05566503983387287, 0.05538593303967029, 0.053674409601916655, 0.052831037881526544, 0.052157648165333775, 0.05194849774558494, 0.05052297760514503, 0.05039495511099379, 0.04915170714338409, 0.048633330283646886, 0.048263034010504156, 0.04782536461394518, 0.04717044651191285, 0.046885889063173154, 0.04699725772630661, 0.04617705828252625, 0.04503824932381828, 0.045027767625102334, 0.04637965877005394, 0.044244930564247546, 0.04554615786021694, 0.04358975474346191, 0.04312270287265803, 0.043238377832668894, 0.04403019238738937, 0.04224775422443735, 0.04205756319409355, 0.04176383126685594, 0.041353894793923866, 0.041244931578477646, 0.0410945658829618, 0.04118590403665254, 0.04051913204107513]",1584.553169965744,0.03,0.0,0.989,0.989,0.9890090082479144,0.9889947023549517,[7 2 1 ... 4 5 6],[7 2 1 ... 4 5 6],0.00012801876004959922
model_ccn_2_relu,"[2.3130850715840117, 2.3036965461487466, 2.295399712755325, 2.2877083344662443, 2.2802907329924564, 2.272748295297014, 2.2649851365292326, 2.256701564535182, 2.247813238742504, 2.2381543326885143, 2.22747388545503, 2.215503203107956, 2.2017527958180043, 2.1856235227686294, 2.1669229218300354, 2.1454073938917606, 2.120475895861362, 2.0912983062419483, 2.0569045848034797, 2.0161958977263024, 1.9677301068255242, 1.9101831367675295, 1.8425869599301765, 1.763906702082208, 1.6739421461490875, 1.573548675851619, 1.4658171965720805, 1.3545433834512184, 1.2443309343875724, 1.1391092155207978, 1.0428689153904611, 0.9570417090299281, 0.8821168957238502, 0.8170789648243721, 0.7626882965894456, 0.7158947235092203, 0.6759038656315906, 0.6415840999243108, 0.6124036832058684, 0.5865924269595044, 0.563683384117928, 0.5435232012829883, 0.5258309635076117, 0.5098869153793822, 0.49512395944367066, 0.4823676311272256, 0.4702101630416322, 0.4594286485238278, 0.44914978013393725, 0.4397178864542474, 0.43062452068354223, 0.42206381625951606, 0.4145460734342007, 0.40702964238663936, 0.39997710018081867, 0.3936471344625696, 0.38733911783771313, 0.3812314473251079, 0.37541014114592935, 0.36993637015210823]","[2.30612084713388, 2.2977310190809535, 2.289994422425615, 2.2825811923818384, 2.275268052486663, 2.267759571684168, 2.2598239310244295, 2.251338689885241, 2.2421540148714754, 2.2320849033112222, 2.2208695665318916, 2.2081863220701825, 2.1934289780068905, 2.176092908737507, 2.1562286437825953, 2.133244773174854, 2.1064881618986737, 2.0750925540924072, 2.037987455408624, 1.9938845482278378, 1.9415763718016603, 1.8795940749188687, 1.8069896723361725, 1.7231373888380983, 1.628194550250439, 1.524313858214845, 1.4140435000683398, 1.3026669000057465, 1.1947208287868094, 1.0936972004302004, 1.001715284712771, 0.9209082063208235, 0.8511474589084057, 0.7911583730515014, 0.7408687890844142, 0.6973167873443441, 0.6604239129005595, 0.6286467580085106, 0.6012230832526024, 0.5772955202041788, 0.5559100293098612, 0.536799338269741, 0.5202261881625398, 0.5046785594301021, 0.4908973213205946, 0.4783862962367687, 0.46686999594911616, 0.45646646365206295, 0.44667152141002897, 0.4376103440497784, 0.4289312502171131, 0.421011321088101, 0.4134097156372476, 0.4062873955736769, 0.3996758689271643, 0.3933409826552614, 0.38750384969914214, 0.38141674564239825, 0.37577863893610364, 0.3706085536074131]",1567.725683927536,0.0005,0.0,0.8982,0.8982,0.8979247172660889,0.8978912345016371,[7 2 1 ... 4 5 6],[7 2 1 ... 4 5 6],0.001389589274674654
model_ccn_2_relu,"[0.29220656094266406, 0.10401512350418421, 0.05545373821754191, 0.03383414698506533, 0.02183427402713914, 0.015291744964256851, 0.011099489942899964, 0.008527884102696533, 0.006578590471430549, 0.005715883916307455, 0.004421770959761915, 0.003747110473496446, 0.003186002460324259, 0.0029315901196016662, 0.002918745642983422, 0.0020528320139132517, 0.0020753227426287737, 0.0022038094135178035, 0.002240766639177596, 0.0017249596412608852, 0.0014821075916743036, 0.0015935110964601102, 0.0015581702263977404, 0.0011686445449353325, 0.0013334134109638462, 0.0011383478608421624, 0.0014961440173986884, 0.0008263385766217468, 0.0014239938754045632, 0.001027720375503138, 0.0006711634456235327, 0.0014003156319377633, 0.0011257154801569413, 0.0007474695587495547, 0.0007808166295002368, 0.0008564027865815509, 0.0005331258400478204, 0.0009131523234820152]","[1.223096122132971, 0.43032390323091063, 0.3148431784295021, 0.30950409015442465, 0.36654776144534984, 0.20332782033910143, 0.41611491809500023, 0.3425399708621045, 0.25035301928824566, 0.16622836190335294, 0.33703868503266193, 0.19106596787559224, 0.31769631771331136, 0.2010492798178754, 0.3845449743118692, 0.33416730387413757, 0.3152847962176546, 0.24711899855669509, 0.28663397437714516, 0.282840925328275, 0.28980441962150816, 0.20136405781228492, 0.16234007430203418, 0.39715114901674553, 0.22704651603039275, 0.17939143009642336, 0.24392398113900043, 0.28432863126409813, 0.26587442039175235, 0.23214339528312075, 0.2688687459585514, 0.23943740478221406, 0.404059406924755, 0.2748657461810619, 0.3130211056546962, 0.33931415543911303, 0.34047285293010954, 0.29705528439359463]",4878.394297838211,0.0005,0.0,0.9195,0.9195,0.9339707656381131,0.9201115699603257,[7 2 1 ... 4 5 6],[7 2 1 ... 4 8 6],0.0011854839473962784
model_ccn_3_relu,"[0.29220656094266406, 0.10401512350418421, 0.05545373821754191, 0.03383414698506533, 0.02183427402713914, 0.015291744964256851, 0.011099489942899964, 0.008527884102696533, 0.006578590471430549, 0.005715883916307455, 0.004421770959761915, 0.003747110473496446, 0.003186002460324259, 0.0029315901196016662, 0.002918745642983422, 0.0020528320139132517, 0.0020753227426287737, 0.0022038094135178035, 0.002240766639177596, 0.0017249596412608852, 0.0014821075916743036, 0.0015935110964601102, 0.0015581702263977404, 0.0011686445449353325, 0.0013334134109638462, 0.0011383478608421624, 0.0014961440173986884, 0.0008263385766217468, 0.0014239938754045632, 0.001027720375503138, 0.0006711634456235327, 0.0014003156319377633, 0.0011257154801569413, 0.0007474695587495547, 0.0007808166295002368, 0.0008564027865815509, 0.0005331258400478204, 0.0009131523234820152]","[1.223096122132971, 0.43032390323091063, 0.3148431784295021, 0.30950409015442465, 0.36654776144534984, 0.20332782033910143, 0.41611491809500023, 0.3425399708621045, 0.25035301928824566, 0.16622836190335294, 0.33703868503266193, 0.19106596787559224, 0.31769631771331136, 0.2010492798178754, 0.3845449743118692, 0.33416730387413757, 0.3152847962176546, 0.24711899855669509, 0.28663397437714516, 0.282840925328275, 0.28980441962150816, 0.20136405781228492, 0.16234007430203418, 0.39715114901674553, 0.22704651603039275, 0.17939143009642336, 0.24392398113900043, 0.28432863126409813, 0.26587442039175235, 0.23214339528312075, 0.2688687459585514, 0.23943740478221406, 0.404059406924755, 0.2748657461810619, 0.3130211056546962, 0.33931415543911303, 0.34047285293010954, 0.29705528439359463]",4878.394297838211,0.0005,0.0,0.9195,0.9195,0.9339707656381131,0.9201115699603257,[7 2 1 ... 4 5 6],[7 2 1 ... 4 8 6],0.0011854839473962784
mlp_model,"[0.5366471463888107, 0.27761141340267687, 0.22345242355940476, 0.1885225572749429, 0.1613260706064951, 0.14198981430662874, 0.1265002355503384, 0.11451943545568308, 0.10460059044644975, 0.09620691367793673, 0.0887852809606314, 0.08205024392123353, 0.07687864128285582, 0.07130381396210093, 0.06658199511584825, 0.0634493475443863, 0.059854538447968175, 0.05590012489130459, 0.05275482644334261, 0.04993232535965944, 0.047099492765883044, 0.04484169853899099, 0.0424040583052556, 0.04039334029341262, 0.0382525739393653, 0.0363877354593933, 0.03478542604467293, 0.03328262843603625, 0.031137964451906253, 0.030035121166226114, 0.028520821826256603, 0.027276787243342066, 0.02618032050117563, 0.0247155674855397, 0.02369587974988766, 0.022747570567809513, 0.021870186625979688, 0.020927969719844744, 0.020018894324929686, 0.01942053428503338, 0.018533761085444286, 0.017708263073730753, 0.01683201711487603, 0.016202236249794926, 0.01579257025225388, 0.014944244144336002, 0.01468242131308519, 0.014012958552411874, 0.013435854483627736, 0.013015478481821295, 0.012545629126029023, 0.012163320254966645, 0.011702537425062094, 0.011323938907216113, 0.010998852503544564, 0.010535441358251773, 0.010337576144791001, 0.009943657233150513]","[0.3052345858033126, 0.2459034265523466, 0.2244817509688437, 0.18579595815351543, 0.17057862325183426, 0.14918460370584702, 0.1329298342843928, 0.12776455647292703, 0.12324531363187513, 0.11739361402530145, 0.11041944634120834, 0.11074400358275549, 0.10292156909694312, 0.09916051933769875, 0.09838385200564517, 0.10221394477349047, 0.09802797982304279, 0.09864622389131303, 0.08912318884637595, 0.09073922593849905, 0.08865116896796583, 0.08973087299525408, 0.08938260235636941, 0.08707334823804558, 0.08780182426822042, 0.08456978385152372, 0.08444876277649503, 0.08383906523978416, 0.09266262999614507, 0.08362342305112785, 0.08216213251943069, 0.08906041059501149, 0.08195713291399442, 0.08526457383090019, 0.0839303073849563, 0.08326686387537241, 0.08225751689927469, 0.08122671554818225, 0.08232274349496341, 0.08246653229402606, 0.08104717790659076, 0.08141531386178637, 0.08060026867128424, 0.08155197450598886, 0.0806674242335915, 0.08049558688063067, 0.08259766110425214, 0.07947330249338848, 0.08217460673141129, 0.08220635563073302, 0.08279400704076882, 0.08153374874545989, 0.08079018372626706, 0.0820756806380632, 0.08126550786914474, 0.0808462020399899, 0.08195071198814731, 0.08117497014905893]",506.31658482551575,0.03,0.0,0.9784,0.9784,0.9784110837862092,0.9783974054160656,[7 2 1 ... 4 5 6],[7 2 1 ... 4 5 6],0.0071858511173191805
model_ccn_1,"[0.1340724692882456, 0.11033780303793415, 0.0930041304583574, 0.08013409556335925, 0.06995392282053217, 0.061727542361841185, 0.05520579971525876, 0.05038565988902216, 0.045694526004178136, 0.04166452118806167, 0.03769688895015861, 0.03515017397621099, 0.03219093258181602, 0.030161366631379374, 0.027975779852725584, 0.025926382730813203, 0.023787792505445396, 0.022335063276614164, 0.020808258262404705, 0.01951035255972935, 0.018226350595659822, 0.016898910792292554, 0.015945052151691924, 0.014968305489508869, 0.014101285223310545, 0.0132921985869901, 0.01252869164500377, 0.01186231434321068, 0.01104803752148276]","[0.12184174619110612, 0.10504414254974108, 0.09341886587829018, 0.08539396337020055, 0.07715311124852936, 0.07249625459279438, 0.06884951441703985, 0.067060062152644, 0.06218601378942064, 0.05787592225596503, 0.060309299562771534, 0.05483723318701474, 0.05657044833220425, 0.05291160723058662, 0.05170698898792277, 0.05404021366171946, 0.050855498275729286, 0.050393016597032936, 0.04961267638507707, 0.04956229446178137, 0.04894001030237026, 0.04879034898403915, 0.049479273104073705, 0.046236231028439455, 0.045826473536781126, 0.04845601402809431, 0.045641273899309456, 0.04585005280863091, 0.049845625067133977]",502.4697160720825,0.03,0.0,0.9865,0.9865,0.9865504832661501,0.9865019667977254,[7 2 1 ... 4 5 6],[7 2 1 ... 4 5 6],0.004125556768645947
model_ccn_2,"[1.961160781107222, 0.3493140129219197, 0.17702566499278571, 0.12735239230668716, 0.10234344102881247, 0.08782434666189753, 0.07627833210977163, 0.06857658030580448, 0.062281090194846914, 0.05689967547291114, 0.05241305191997526, 0.04934952035769432, 0.046183979417777056, 0.04299450825427509, 0.04063382132195026, 0.0385606074522957, 0.03682866182435949, 0.03449245770430328, 0.032693259111271494, 0.0311235789283819, 0.029808914383205168, 0.028076662906455566, 0.027080391966546814, 0.025696491029855224, 0.024684369921301366, 0.023646899871090074, 0.022509776188507354, 0.021345853862345998, 0.02033909847576524, 0.01978248893463918]","[0.6376968122770389, 0.21321535075626646, 0.14386375779441246, 0.11169888520535702, 0.1001979648618726, 0.08591895517616649, 0.07492021707633588, 0.0688790343280804, 0.06336461739469086, 0.06694110900779682, 0.05852908337983535, 0.059626156757901, 0.05209209700260544, 0.05225515279751562, 0.05067028421508439, 0.05123883939428197, 0.04585165358273419, 0.04370991617635203, 0.0450711771614624, 0.04333285507003893, 0.04249611567668277, 0.04230918048141272, 0.043990871824577574, 0.04134340350724718, 0.03916763927169086, 0.04268846760592472, 0.04220733315683295, 0.039943434842583274, 0.039831818199851717, 0.038912186145971646]",720.1132550239563,0.03,0.0,0.989,0.989,0.9890295886794369,0.9889989760924908,[7 2 1 ... 4 5 6],[7 2 1 ... 4 5 6],0.0030272847373173134
